ID	TYPE	label	element	atomic number
ID	TYPE		SC %
CHEBI:33386	class	protactinium atom	'ChEMROF:atomic_number' value 91
CHEBI:27214	class	uranium atom	'ChEMROF:atomic_number' value 92
CHEBI:33387	class	neptunium atom	'ChEMROF:atomic_number' value 93
CHEBI:33388	class	plutonium atom	'ChEMROF:atomic_number' value 94
CHEBI:33389	class	americium atom	'ChEMROF:atomic_number' value 95
CHEBI:33390	class	curium atom	'ChEMROF:atomic_number' value 96
CHEBI:33391	class	berkelium atom	'ChEMROF:atomic_number' value 97
CHEBI:33392	class	californium atom	'ChEMROF:atomic_number' value 98
CHEBI:33393	class	einsteinium atom	'ChEMROF:atomic_number' value 99
CHEBI:33394	class	fermium	'ChEMROF:atomic_number' value 100
CHEBI:33395	class	mendelevium atom	'ChEMROF:atomic_number' value 101
CHEBI:33396	class	nobelium	'ChEMROF:atomic_number' value 102
CHEBI:33397	class	lawrencium atom	'ChEMROF:atomic_number' value 103
CHEBI:33346	class	rutherfordium atom	'ChEMROF:atomic_number' value 104
CHEBI:33349	class	dubnium atom	'ChEMROF:atomic_number' value 105
CHEBI:33351	class	seaborgium atom	'ChEMROF:atomic_number' value 106
CHEBI:33355	class	bohrium atom	'ChEMROF:atomic_number' value 107
CHEBI:33357	class	hassium atom	'ChEMROF:atomic_number' value 108
CHEBI:33361	class	meitnerium atom	'ChEMROF:atomic_number' value 109
CHEBI:33367	class	darmstadtium	'ChEMROF:atomic_number' value 110
CHEBI:33368	class	roentgenium atom	'ChEMROF:atomic_number' value 111
CHEBI:33517	class	copernicium atom	'ChEMROF:atomic_number' value 112
CHEBI:194533	class	nihonium atom	'ChEMROF:atomic_number' value 113
CHEBI:194531	class	flerovium atom	'ChEMROF:atomic_number' value 114
CHEBI:194535	class	moscovium atom	'ChEMROF:atomic_number' value 115
CHEBI:194537	class	livermorium atom	'ChEMROF:atomic_number' value 116
CHEBI:194539	class	tennessine atom	'ChEMROF:atomic_number' value 117
CHEBI:194541	class	oganesson atom	'ChEMROF:atomic_number' value 118
